Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/02/2024,03:00,N,HB_HUBAVG,20.12
01/02/2024,03:00,N,HB_NORTH,18.58
01/02/2024,03:00,N,HB_PAN,12.88
01/02/2024,03:00,N,HB_SOUTH,18.75
01/02/2024,03:00,N,HB_WEST,24.21
01/02/2024,03:00,N,LZ_AEN,19.66
01/02/2024,03:00,N,LZ_CPS,20.59
01/02/2024,03:00,N,LZ_HOUSTON,18.94
01/02/2024,03:00,N,LZ_LCRA,20.02
01/02/2024,03:00,N,LZ_NORTH,18.57
01/02/2024,03:00,N,LZ_RAYBN,18.47
01/02/2024,03:00,N,LZ_SOUTH,17.75
01/02/2024,03:00,N,LZ_WEST,34.38
01/02/2024,04:00,N,HB_BUSAVG,20.23
01/02/2024,04:00,N,HB_HOUSTON,19.65
01/02/2024,04:00,N,HB_HUBAVG,21.04
01/02/2024,04:00,N,HB_NORTH,19.56
01/02/2024,04:00,N,HB_PAN,15.26
01/02/2024,04:00,N,HB_SOUTH,19.14
01/02/2024,04:00,N,HB_WEST,25.8
01/02/2024,04:00,N,LZ_AEN,20.25
01/02/2024,04:00,N,LZ_CPS,21.11
01/02/2024,04:00,N,LZ_HOUSTON,19.63
01/02/2024,04:00,N,LZ_LCRA,20.61
01/02/2024,04:00,N,LZ_NORTH,19.57
01/02/2024,04:00,N,LZ_RAYBN,19.51
01/02/2024,04:00,N,LZ_SOUTH,18.14
01/02/2024,04:00,N,LZ_WEST,38.07
01/02/2024,05:00,N,HB_BUSAVG,21.46
01/02/2024,05:00,N,HB_HOUSTON,20.77
01/02/2024,05:00,N,HB_HUBAVG,22.28
01/02/2024,05:00,N,HB_NORTH,20.87
01/02/2024,05:00,N,HB_PAN,19.67
01/02/2024,05:00,N,HB_SOUTH,19.96
01/02/2024,05:00,N,HB_WEST,27.52
01/02/2024,05:00,N,LZ_AEN,21.44
01/02/2024,05:00,N,LZ_CPS,22.5
01/02/2024,05:00,N,LZ_HOUSTON,20.74
01/02/2024,05:00,N,LZ_LCRA,21.86
01/02/2024,05:00,N,LZ_NORTH,20.89
01/02/2024,05:00,N,LZ_RAYBN,20.86
01/02/2024,05:00,N,LZ_SOUTH,18.6
01/02/2024,05:00,N,LZ_WEST,41.22
01/02/2024,06:00,N,HB_BUSAVG,25.76
01/02/2024,06:00,N,HB_HOUSTON,25.05
01/02/2024,06:00,N,HB_HUBAVG,26.57
01/02/2024,06:00,N,HB_NORTH,25.22
01/02/2024,06:00,N,HB_PAN,25.09
01/02/2024,06:00,N,HB_SOUTH,24.11
01/02/2024,06:00,N,HB_WEST,31.93
01/02/2024,06:00,N,LZ_AEN,25.61
01/02/2024,06:00,N,LZ_CPS,26.57
01/02/2024,06:00,N,LZ_HOUSTON,25.01
01/02/2024,06:00,N,LZ_LCRA,26.01
01/02/2024,06:00,N,LZ_NORTH,25.25
01/02/2024,06:00,N,LZ_RAYBN,25.23
01/02/2024,06:00,N,LZ_SOUTH,22.74
01/02/2024,06:00,N,LZ_WEST,46.1
01/02/2024,07:00,N,HB_BUSAVG,36.21
01/02/2024,07:00,N,HB_HOUSTON,35.82
01/02/2024,07:00,N,HB_HUBAVG,37.11
01/02/2024,07:00,N,HB_NORTH,35.61
01/02/2024,07:00,N,HB_PAN,35.84
01/02/2024,07:00,N,HB_SOUTH,34.27
01/02/2024,07:00,N,HB_WEST,42.76
01/02/2024,07:00,N,LZ_AEN,36.79
01/02/2024,07:00,N,LZ_CPS,38.05
01/02/2024,07:00,N,LZ_HOUSTON,35.81
01/02/2024,07:00,N,LZ_LCRA,37.23
01/02/2024,07:00,N,LZ_NORTH,35.98
01/02/2024,07:00,N,LZ_RAYBN,35.37
01/02/2024,07:00,N,LZ_SOUTH,31.75
01/02/2024,07:00,N,LZ_WEST,54.57
01/02/2024,08:00,N,HB_BUSAVG,42.16
01/02/2024,08:00,N,HB_HOUSTON,41.47
01/02/2024,08:00,N,HB_HUBAVG,43.14
01/02/2024,08:00,N,HB_NORTH,41.7
01/02/2024,08:00,N,HB_PAN,43.08
01/02/2024,08:00,N,HB_SOUTH,39.34
